Step,Induced Dipole 1 (Debye),Induced Dipole 2 (Debye),Induced Dipole 3 (Debye),Induced Dipole 4 (Debye),Induced Dipole 5 (Debye),Total Dipole 1 (Debye),Total Dipole 2 (Debye),Total Dipole 3 (Debye),Total Dipole 4 (Debye),Total Dipole 5 (Debye),Induction energy (eV),Electrostatic energy (eV)
1,0.4055,0.7444,0.7746,0.7444,0.4055,2.2605,2.5994,2.6296,2.5994,2.2605,-0.8014,-4.5167
2,0.5679,0.9834,1.0698,0.9834,0.5679,2.4229,2.8384,2.9248,2.8384,2.4229,-0.9562,-5.3907
3,0.6212,1.075,1.1661,1.075,0.6212,2.4762,2.93,3.0211,2.93,2.4762,-1.0141,-5.7188
4,0.6412,1.1053,1.2025,1.1053,0.6412,2.4962,2.9603,3.0575,2.9603,2.4962,-1.035,-5.8368
5,0.648,1.1166,1.2147,1.1166,0.648,2.503,2.9716,3.0697,2.9716,2.503,-1.0424,-5.8789
6,0.6504,1.1204,1.2192,1.1204,0.6504,2.5054,2.9754,3.0742,2.9754,2.5054,-1.045,-5.8938
7,0.6513,1.1218,1.2207,1.1218,0.6513,2.5063,2.9768,3.0757,2.9768,2.5063,-1.046,-5.899
8,0.6516,1.1223,1.2213,1.1223,0.6516,2.5066,2.9773,3.0763,2.9773,2.5066,-1.0463,-5.9009
9,0.6517,1.1225,1.2215,1.1225,0.6517,2.5067,2.9775,3.0765,2.9775,2.5067,-1.0464,-5.9015
10,0.6517,1.1225,1.2216,1.1225,0.6517,2.5067,2.9775,3.0766,2.9775,2.5067,-1.0464,-5.9018
